Date: 2016-06-01, Location: Inne, Average Humidity: 37,2%
Date: 2016-09-13, Location: Ute, Average Humidity: 58,0%
Date: 2016-09-14, Location: Inne, Average Humidity: 43,0%
Date: 2016-09-14, Location: Ute, Average Humidity: 58,1%
Date: 2016-09-15, Location: Inne, Average Humidity: 45,1%
Date: 2016-09-15, Location: Ute, Average Humidity: 58,8%
Date: 2016-09-16, Location: Inne, Average Humidity: 39,1%
Date: 2016-09-16, Location: Ute, Average Humidity: 54,4%
Date: 2016-09-17, Location: Inne, Average Humidity: 37,0%
Date: 2016-09-17, Location: Ute, Average Humidity: 59,5%
Date: 2016-09-20, Location: Ute, Average Humidity: 64,2%
Date: 2016-09-20, Location: Inne, Average Humidity: 36,1%
Date: 2016-09-21, Location: Inne, Average Humidity: 34,9%
Date: 2016-09-21, Location: Ute, Average Humidity: 57,4%
Date: 2016-09-22, Location: Ute, Average Humidity: 62,4%
Date: 2016-09-22, Location: Inne, Average Humidity: 37,2%
Date: 2016-09-23, Location: Inne, Average Humidity: 37,5%
Date: 2016-09-23, Location: Ute, Average Humidity: 60,4%
Date: 2016-09-24, Location: Ute, Average Humidity: 64,6%
Date: 2016-09-24, Location: Inne, Average Humidity: 40,7%
Date: 2016-09-25, Location: Ute, Average Humidity: 63,4%
Date: 2016-09-25, Location: Inne, Average Humidity: 42,8%
Date: 2016-09-26, Location: Inne, Average Humidity: 44,4%
Date: 2016-09-26, Location: Ute, Average Humidity: 65,3%
Date: 2016-09-27, Location: Ute, Average Humidity: 67,6%
Date: 2016-09-27, Location: Inne, Average Humidity: 43,9%
Date: 2016-09-28, Location: Ute, Average Humidity: 70,5%
Date: 2016-09-28, Location: Inne, Average Humidity: 44,5%
Date: 2016-09-29, Location: Ute, Average Humidity: 72,5%
Date: 2016-09-29, Location: Inne, Average Humidity: 47,0%
Date: 2016-09-30, Location: Ute, Average Humidity: 44,9%
Date: 2016-09-30, Location: Inne, Average Humidity: 44,0%
Date: 2016-10-01, Location: Ute, Average Humidity: 51,2%
Date: 2016-10-01, Location: Inne, Average Humidity: 39,3%
Date: 2016-10-02, Location: Ute, Average Humidity: 56,9%
Date: 2016-10-02, Location: Inne, Average Humidity: 34,0%
Date: 2016-10-03, Location: Ute, Average Humidity: 57,2%
Date: 2016-10-03, Location: Inne, Average Humidity: 31,0%
Date: 2016-10-04, Location: Ute, Average Humidity: 62,7%
Date: 2016-10-04, Location: Inne, Average Humidity: 28,6%
Date: 2016-10-04, Location: ne, Average Humidity: 30,0%
Date: 2016-10-05, Location: Ute, Average Humidity: 60,2%
Date: 2016-10-05, Location: Inne, Average Humidity: 28,8%
Date: 2016-10-06, Location: Inne, Average Humidity: 28,5%
Date: 2016-10-06, Location: Ute, Average Humidity: 57,8%
Date: 2016-10-07, Location: Ute, Average Humidity: 65,9%
Date: 2016-10-07, Location: Inne, Average Humidity: 29,0%
Date: 2016-10-08, Location: Inne, Average Humidity: 28,3%
Date: 2016-10-08, Location: Ute, Average Humidity: 56,3%
Date: 2016-10-09, Location: Inne, Average Humidity: 31,0%
Date: 2016-10-09, Location: Ute, Average Humidity: 73,0%
Date: 2016-10-10, Location: Ute, Average Humidity: 66,3%
Date: 2016-10-10, Location: Inne, Average Humidity: 32,0%
Date: 2016-10-11, Location: Inne, Average Humidity: 27,3%
Date: 2016-10-11, Location: Ute, Average Humidity: 63,6%
Date: 2016-10-12, Location: Inne, Average Humidity: 26,9%
Date: 2016-10-12, Location: Ute, Average Humidity: 63,0%
Date: 2016-10-13, Location: Ute, Average Humidity: 61,8%
Date: 2016-10-13, Location: Inne, Average Humidity: 23,6%
Date: 2016-10-14, Location: Ute, Average Humidity: 62,8%
Date: 2016-10-14, Location: Inne, Average Humidity: 24,1%
Date: 2016-10-18, Location: Ute, Average Humidity: 68,8%
Date: 2016-10-18, Location: Inne, Average Humidity: 26,7%
Date: 2016-10-19, Location: Ute, Average Humidity: 71,5%
Date: 2016-10-19, Location: Inne, Average Humidity: 29,8%
Date: 2016-10-20, Location: Ute, Average Humidity: 61,0%
Date: 2016-10-20, Location: Inne, Average Humidity: 26,5%
Date: 2016-10-21, Location: Ute, Average Humidity: 62,4%
Date: 2016-10-21, Location: Inne, Average Humidity: 24,4%
Date: 2016-10-22, Location: Ute, Average Humidity: 61,8%
Date: 2016-10-22, Location: Inne, Average Humidity: 21,7%
Date: 2016-10-23, Location: Ute, Average Humidity: 75,4%
Date: 2016-10-23, Location: Inne, Average Humidity: 23,0%
Date: 2016-10-24, Location: Ute, Average Humidity: 73,8%
Date: 2016-10-24, Location: Inne, Average Humidity: 26,7%
Date: 2016-10-25, Location: Ute, Average Humidity: 79,2%
Date: 2016-10-25, Location: Inne, Average Humidity: 27,0%
Date: 2016-10-26, Location: Ute, Average Humidity: 79,7%
Date: 2016-10-26, Location: Inne, Average Humidity: 23,1%
Date: 2016-10-27, Location: Ute, Average Humidity: 78,0%
Date: 2016-10-27, Location: Inne, Average Humidity: 25,9%
Date: 2016-10-28, Location: Ute, Average Humidity: 65,2%
Date: 2016-10-28, Location: Inne, Average Humidity: 29,3%
Date: 2016-10-29, Location: Ute, Average Humidity: 43,7%
Date: 2016-10-29, Location: Inne, Average Humidity: 21,5%
Date: 2016-10-30, Location: Ute, Average Humidity: 57,1%
Date: 2016-10-30, Location: Inne, Average Humidity: 23,3%
Date: 2016-10-31, Location: Inne, Average Humidity: 22,0%
Date: 2016-10-31, Location: Ute, Average Humidity: 60,6%
Date: 2016-11-01, Location: Inne, Average Humidity: 23,5%
Date: 2016-11-01, Location: Ute, Average Humidity: 82,9%
Date: 2016-11-02, Location: Inne, Average Humidity: 20,4%
Date: 2016-11-02, Location: Ute, Average Humidity: 89,6%
Date: 2016-11-03, Location: Inne, Average Humidity: 17,3%
Date: 2016-11-03, Location: Ute, Average Humidity: 77,5%
Date: 2016-11-04, Location: Inne, Average Humidity: 14,9%
Date: 2016-11-04, Location: Ute, Average Humidity: 79,1%
Date: 2016-11-05, Location: Ute, Average Humidity: 72,6%
Date: 2016-11-05, Location: Inne, Average Humidity: 14,0%
Date: 2016-11-06, Location: Ute, Average Humidity: 83,7%
Date: 2016-11-06, Location: Inne, Average Humidity: 15,8%
Date: 2016-11-07, Location: Inne, Average Humidity: 14,8%
Date: 2016-11-08, Location: Inne, Average Humidity: 14,0%
Date: 2016-11-09, Location: Inne, Average Humidity: 14,0%
Date: 2016-11-09, Location: Ute, Average Humidity: 92,9%
Date: 2016-11-10, Location: Inne, Average Humidity: 14,3%
Date: 2016-11-10, Location: Ute, Average Humidity: 95,5%
Date: 2016-11-11, Location: Inne, Average Humidity: 14,2%
Date: 2016-11-11, Location: Ute, Average Humidity: 95,0%
Date: 2016-11-12, Location: Inne, Average Humidity: 14,0%
Date: 2016-11-12, Location: Ute, Average Humidity: 92,5%
Date: 2016-11-13, Location: Ute, Average Humidity: 95,2%
Date: 2016-11-13, Location: Inne, Average Humidity: 15,4%
Date: 2016-11-14, Location: Ute, Average Humidity: 95,9%
Date: 2016-11-14, Location: Inne, Average Humidity: 20,5%
Date: 2016-11-15, Location: Ute, Average Humidity: 94,0%
Date: 2016-11-15, Location: Inne, Average Humidity: 19,6%
Date: 2016-11-16, Location: Ute, Average Humidity: 93,8%
Date: 2016-11-16, Location: Inne, Average Humidity: 20,8%
Date: 2016-11-17, Location: Inne, Average Humidity: 21,7%
Date: 2016-11-17, Location: Ute, Average Humidity: 80,7%
Date: 2016-11-18, Location: Inne, Average Humidity: 24,5%
Date: 2016-11-18, Location: Ute, Average Humidity: 88,1%
Date: 2016-11-19, Location: Inne, Average Humidity: 21,7%
Date: 2016-11-19, Location: Ute, Average Humidity: 81,1%
Date: 2016-11-20, Location: Inne, Average Humidity: 21,7%
Date: 2016-11-20, Location: Ute, Average Humidity: 81,2%
Date: 2016-11-21, Location: Inne, Average Humidity: 24,4%
Date: 2016-11-21, Location: Ute, Average Humidity: 76,3%
Date: 2016-11-22, Location: Inne, Average Humidity: 28,2%
Date: 2016-11-22, Location: Ute, Average Humidity: 81,4%
Date: 2016-11-23, Location: Inne, Average Humidity: 27,7%
Date: 2016-11-23, Location: Ute, Average Humidity: 81,5%
Date: 2016-11-24, Location: Inne, Average Humidity: 25,2%
Date: 2016-11-24, Location: Ute, Average Humidity: 74,8%
Date: 2016-11-25, Location: Ute, Average Humidity: 82,6%
Date: 2016-11-25, Location: Inne, Average Humidity: 20,5%
Date: 2016-11-26, Location: Ute, Average Humidity: 70,9%
Date: 2016-11-26, Location: Inne, Average Humidity: 22,1%
Date: 2016-11-27, Location: Inne, Average Humidity: 20,3%
Date: 2016-11-27, Location: Ute, Average Humidity: 68,5%
Date: 2016-11-28, Location: Ute, Average Humidity: 85,0%
Date: 2016-11-28, Location: Inne, Average Humidity: 14,2%
Date: 2016-11-29, Location: Ute, Average Humidity: 90,7%
Date: 2016-11-29, Location: Inne, Average Humidity: 15,5%
Date: 2016-11-30, Location: Ute, Average Humidity: 68,7%
Date: 2016-11-30, Location: Inne, Average Humidity: 14,2%
Date: 2016-12-01, Location: Ute, Average Humidity: 59,8%
Date: 2016-12-01, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-02, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-02, Location: Ute, Average Humidity: 70,9%
Date: 2016-12-03, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-03, Location: Ute, Average Humidity: 71,4%
Date: 2016-12-04, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-04, Location: Ute, Average Humidity: 77,9%
Date: 2016-12-05, Location: Ute, Average Humidity: 59,8%
Date: 2016-12-05, Location: Inne, Average Humidity: 14,1%
Date: 2016-12-06, Location: Ute, Average Humidity: 61,1%
Date: 2016-12-06, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-07, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-07, Location: Ute, Average Humidity: 71,6%
Date: 2016-12-08, Location: Ute, Average Humidity: 86,0%
Date: 2016-12-08, Location: Inne, Average Humidity: 23,2%
Date: 2016-12-09, Location: Inne, Average Humidity: 21,6%
Date: 2016-12-09, Location: Ute, Average Humidity: 65,2%
Date: 2016-12-10, Location: Inne, Average Humidity: 15,1%
Date: 2016-12-10, Location: Ute, Average Humidity: 76,5%
Date: 2016-12-11, Location: Inne, Average Humidity: 17,9%
Date: 2016-12-11, Location: Ute, Average Humidity: 86,1%
Date: 2016-12-12, Location: Inne, Average Humidity: 14,1%
Date: 2016-12-12, Location: Ute, Average Humidity: 83,2%
Date: 2016-12-13, Location: Inne, Average Humidity: 15,0%
Date: 2016-12-13, Location: Ute, Average Humidity: 88,2%
Date: 2016-12-14, Location: Inne, Average Humidity: 15,4%
Date: 2016-12-14, Location: Ute, Average Humidity: 95,2%
Date: 2016-12-15, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-15, Location: Ute, Average Humidity: 87,9%
Date: 2016-12-16, Location: Inne, Average Humidity: 14,1%
Date: 2016-12-16, Location: Ute, Average Humidity: 91,0%
Date: 2016-12-17, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-17, Location: Ute, Average Humidity: 83,7%
Date: 2016-12-18, Location: Inne, Average Humidity: 14,0%
Date: 2016-12-18, Location: Ute, Average Humidity: 87,1%
Date: 2016-12-19, Location: Inne, Average Humidity: 15,1%
Date: 2016-12-19, Location: Ute, Average Humidity: 83,8%
Date: 2016-12-20, Location: Inne, Average Humidity: 22,2%
Date: 2016-12-20, Location: Ute, Average Humidity: 90,2%
Date: 2016-12-21, Location: Inne, Average Humidity: 19,9%
Date: 2016-12-21, Location: Ute, Average Humidity: 76,1%
Date: 2016-12-22, Location: Inne, Average Humidity: 17,1%
Date: 2016-12-22, Location: Ute, Average Humidity: 75,9%
Date: 2016-12-23, Location: Inne, Average Humidity: 18,1%
Date: 2016-12-23, Location: Ute, Average Humidity: 72,2%
