Date: 2016-06-01, Location: Inne, Average Temperature: 24,6
Date: 2016-09-15, Location: Ute, Average Temperature: 20,8
Date: 2016-09-16, Location: Inne, Average Temperature: 24,6
Date: 2016-09-16, Location: Ute, Average Temperature: 13,3
Date: 2016-09-17, Location: Inne, Average Temperature: 24,4
Date: 2016-09-17, Location: Ute, Average Temperature: 13,5
Date: 2016-09-20, Location: Ute, Average Temperature: 12,0
Date: 2016-09-20, Location: Inne, Average Temperature: 23,0
Date: 2016-09-21, Location: Inne, Average Temperature: 22,1
Date: 2016-09-21, Location: Ute, Average Temperature: 14,6
Date: 2016-09-22, Location: Ute, Average Temperature: 13,8
Date: 2016-09-22, Location: Inne, Average Temperature: 21,8
Date: 2016-09-23, Location: Inne, Average Temperature: 22,3
Date: 2016-09-23, Location: Ute, Average Temperature: 12,7
Date: 2016-09-24, Location: Ute, Average Temperature: 14,3
Date: 2016-09-24, Location: Inne, Average Temperature: 21,1
Date: 2016-09-25, Location: Ute, Average Temperature: 14,9
Date: 2016-09-25, Location: Inne, Average Temperature: 22,4
Date: 2016-09-26, Location: Inne, Average Temperature: 22,7
Date: 2016-09-26, Location: Ute, Average Temperature: 16,0
Date: 2016-09-27, Location: Ute, Average Temperature: 15,6
Date: 2016-09-27, Location: Inne, Average Temperature: 22,6
Date: 2016-09-28, Location: Ute, Average Temperature: 14,9
Date: 2016-09-28, Location: Inne, Average Temperature: 22,5
Date: 2016-09-29, Location: Ute, Average Temperature: 14,3
Date: 2016-09-29, Location: Inne, Average Temperature: 21,5
Date: 2016-09-30, Location: Ute, Average Temperature: 14,0
Date: 2016-09-30, Location: Inne, Average Temperature: 22,9
Date: 2016-10-01, Location: Ute, Average Temperature: 12,5
Date: 2016-10-01, Location: Inne, Average Temperature: 23,0
Date: 2016-10-02, Location: Ute, Average Temperature: 11,7
Date: 2016-10-02, Location: Inne, Average Temperature: 22,5
Date: 2016-10-03, Location: Ute, Average Temperature: 10,2
Date: 2016-10-03, Location: Inne, Average Temperature: 22,0
Date: 2016-10-04, Location: Ute, Average Temperature: 7,3
Date: 2016-10-04, Location: Inne, Average Temperature: 22,8
Date: 2016-10-04, Location: ne, Average Temperature: 23,3
Date: 2016-10-05, Location: Ute, Average Temperature: 7,7
Date: 2016-10-05, Location: Inne, Average Temperature: 23,0
Date: 2016-10-06, Location: Inne, Average Temperature: 22,8
Date: 2016-10-06, Location: Ute, Average Temperature: 9,3
Date: 2016-10-07, Location: Ute, Average Temperature: 7,6
Date: 2016-10-07, Location: Inne, Average Temperature: 22,5
Date: 2016-10-08, Location: Inne, Average Temperature: 22,2
Date: 2016-10-08, Location: Ute, Average Temperature: 8,4
Date: 2016-10-09, Location: Inne, Average Temperature: 22,1
Date: 2016-10-09, Location: Ute, Average Temperature: 8,8
Date: 2016-10-10, Location: Ute, Average Temperature: 8,4
Date: 2016-10-10, Location: Inne, Average Temperature: 23,2
Date: 2016-10-11, Location: Inne, Average Temperature: 22,0
Date: 2016-10-11, Location: Ute, Average Temperature: 8,8
Date: 2016-10-12, Location: Inne, Average Temperature: 22,4
Date: 2016-10-12, Location: Ute, Average Temperature: 8,2
Date: 2016-10-13, Location: Ute, Average Temperature: 7,2
Date: 2016-10-13, Location: Inne, Average Temperature: 21,9
Date: 2016-10-14, Location: Ute, Average Temperature: 6,6
Date: 2016-10-14, Location: Inne, Average Temperature: 22,1
Date: 2016-10-18, Location: Ute, Average Temperature: 9,2
Date: 2016-10-18, Location: Inne, Average Temperature: 22,4
Date: 2016-10-19, Location: Ute, Average Temperature: 9,5
Date: 2016-10-19, Location: Inne, Average Temperature: 22,2
Date: 2016-10-20, Location: Ute, Average Temperature: 8,9
Date: 2016-10-20, Location: Inne, Average Temperature: 21,9
Date: 2016-10-21, Location: Ute, Average Temperature: 7,5
Date: 2016-10-21, Location: Inne, Average Temperature: 22,2
Date: 2016-10-22, Location: Ute, Average Temperature: 5,4
Date: 2016-10-22, Location: Inne, Average Temperature: 22,5
Date: 2016-10-23, Location: Ute, Average Temperature: 6,5
Date: 2016-10-23, Location: Inne, Average Temperature: 22,1
Date: 2016-10-24, Location: Ute, Average Temperature: 7,5
Date: 2016-10-24, Location: Inne, Average Temperature: 22,0
Date: 2016-10-25, Location: Ute, Average Temperature: 5,2
Date: 2016-10-25, Location: Inne, Average Temperature: 23,0
Date: 2016-10-26, Location: Ute, Average Temperature: 5,1
Date: 2016-10-26, Location: Inne, Average Temperature: 22,7
Date: 2016-10-27, Location: Ute, Average Temperature: 9,0
Date: 2016-10-27, Location: Inne, Average Temperature: 21,8
Date: 2016-10-28, Location: Ute, Average Temperature: 10,4
Date: 2016-10-28, Location: Inne, Average Temperature: 21,7
Date: 2016-10-29, Location: Ute, Average Temperature: 7,1
Date: 2016-10-29, Location: Inne, Average Temperature: 22,3
Date: 2016-10-30, Location: Ute, Average Temperature: 7,0
Date: 2016-10-30, Location: Inne, Average Temperature: 23,4
Date: 2016-10-31, Location: Inne, Average Temperature: 23,1
Date: 2016-10-31, Location: Ute, Average Temperature: 8,2
Date: 2016-11-01, Location: Inne, Average Temperature: 22,9
Date: 2016-11-01, Location: Ute, Average Temperature: 3,4
Date: 2016-11-02, Location: Inne, Average Temperature: 22,7
Date: 2016-11-02, Location: Ute, Average Temperature: 1,5
Date: 2016-11-03, Location: Inne, Average Temperature: 22,4
Date: 2016-11-03, Location: Ute, Average Temperature: 1,5
Date: 2016-11-04, Location: Inne, Average Temperature: 22,6
Date: 2016-11-04, Location: Ute, Average Temperature: 0,8
Date: 2016-11-05, Location: Ute, Average Temperature: 2,0
Date: 2016-11-05, Location: Inne, Average Temperature: 22,9
Date: 2016-11-06, Location: Ute, Average Temperature: 0,5
Date: 2016-11-06, Location: Inne, Average Temperature: 22,5
Date: 2016-11-07, Location: Inne, Average Temperature: 22,3
Date: 2016-11-08, Location: Inne, Average Temperature: 22,4
Date: 2016-11-09, Location: Inne, Average Temperature: 22,9
Date: 2016-11-09, Location: Ute, Average Temperature: 0,4
Date: 2016-11-10, Location: Inne, Average Temperature: 23,5
Date: 2016-11-10, Location: Ute, Average Temperature: 0,8
Date: 2016-11-11, Location: Inne, Average Temperature: 23,1
Date: 2016-11-11, Location: Ute, Average Temperature: 0,4
Date: 2016-11-12, Location: Inne, Average Temperature: 23,0
Date: 2016-11-12, Location: Ute, Average Temperature: 1,7
Date: 2016-11-13, Location: Ute, Average Temperature: 3,8
Date: 2016-11-13, Location: Inne, Average Temperature: 22,3
Date: 2016-11-14, Location: Ute, Average Temperature: 6,3
Date: 2016-11-14, Location: Inne, Average Temperature: 23,2
Date: 2016-11-15, Location: Ute, Average Temperature: 8,2
Date: 2016-11-15, Location: Inne, Average Temperature: 22,4
Date: 2016-11-16, Location: Ute, Average Temperature: 6,5
Date: 2016-11-16, Location: Inne, Average Temperature: 22,9
Date: 2016-11-17, Location: Inne, Average Temperature: 23,2
Date: 2016-11-17, Location: Ute, Average Temperature: 9,5
Date: 2016-11-18, Location: Inne, Average Temperature: 23,0
Date: 2016-11-18, Location: Ute, Average Temperature: 8,8
Date: 2016-11-19, Location: Inne, Average Temperature: 23,0
Date: 2016-11-19, Location: Ute, Average Temperature: 7,1
Date: 2016-11-20, Location: Inne, Average Temperature: 22,4
Date: 2016-11-20, Location: Ute, Average Temperature: 7,3
Date: 2016-11-21, Location: Inne, Average Temperature: 22,3
Date: 2016-11-21, Location: Ute, Average Temperature: 10,8
Date: 2016-11-22, Location: Inne, Average Temperature: 22,9
Date: 2016-11-22, Location: Ute, Average Temperature: 10,2
Date: 2016-11-23, Location: Inne, Average Temperature: 22,9
Date: 2016-11-23, Location: Ute, Average Temperature: 9,8
Date: 2016-11-24, Location: Inne, Average Temperature: 23,5
Date: 2016-11-24, Location: Ute, Average Temperature: 4,5
Date: 2016-11-25, Location: Ute, Average Temperature: 3,9
Date: 2016-11-25, Location: Inne, Average Temperature: 22,6
Date: 2016-11-26, Location: Ute, Average Temperature: 7,2
Date: 2016-11-26, Location: Inne, Average Temperature: 22,8
Date: 2016-11-27, Location: Inne, Average Temperature: 23,3
Date: 2016-11-27, Location: Ute, Average Temperature: 2,0
Date: 2016-11-28, Location: Ute, Average Temperature: 0,9
Date: 2016-11-28, Location: Inne, Average Temperature: 22,5
Date: 2016-11-29, Location: Ute, Average Temperature: 2,4
Date: 2016-11-29, Location: Inne, Average Temperature: 23,0
Date: 2016-11-30, Location: Ute, Average Temperature: 3,2
Date: 2016-11-30, Location: Inne, Average Temperature: 21,8
Date: 2016-12-01, Location: Ute, Average Temperature: 0,9
Date: 2016-12-01, Location: Inne, Average Temperature: 21,7
Date: 2016-12-02, Location: Inne, Average Temperature: 21,5
Date: 2016-12-02, Location: Ute, Average Temperature: 1,0
Date: 2016-12-03, Location: Inne, Average Temperature: 21,0
Date: 2016-12-03, Location: Ute, Average Temperature: 0,0
Date: 2016-12-04, Location: Inne, Average Temperature: 21,2
Date: 2016-12-04, Location: Ute, Average Temperature: 1,5
Date: 2016-12-05, Location: Ute, Average Temperature: 5,0
Date: 2016-12-05, Location: Inne, Average Temperature: 21,4
Date: 2016-12-06, Location: Ute, Average Temperature: 0,7
Date: 2016-12-06, Location: Inne, Average Temperature: 21,4
Date: 2016-12-07, Location: Inne, Average Temperature: 21,4
Date: 2016-12-07, Location: Ute, Average Temperature: 2,6
Date: 2016-12-08, Location: Ute, Average Temperature: 8,1
Date: 2016-12-08, Location: Inne, Average Temperature: 20,1
Date: 2016-12-09, Location: Inne, Average Temperature: 21,1
Date: 2016-12-09, Location: Ute, Average Temperature: 6,6
Date: 2016-12-10, Location: Inne, Average Temperature: 21,1
Date: 2016-12-10, Location: Ute, Average Temperature: 2,2
Date: 2016-12-11, Location: Inne, Average Temperature: 23,0
Date: 2016-12-11, Location: Ute, Average Temperature: 0,7
Date: 2016-12-12, Location: Inne, Average Temperature: 22,7
Date: 2016-12-12, Location: Ute, Average Temperature: 0,0
Date: 2016-12-13, Location: Inne, Average Temperature: 22,6
Date: 2016-12-13, Location: Ute, Average Temperature: 1,6
Date: 2016-12-14, Location: Inne, Average Temperature: 22,9
Date: 2016-12-14, Location: Ute, Average Temperature: 2,5
Date: 2016-12-15, Location: Inne, Average Temperature: 21,7
Date: 2016-12-15, Location: Ute, Average Temperature: 1,0
Date: 2016-12-16, Location: Inne, Average Temperature: 22,1
Date: 2016-12-16, Location: Ute, Average Temperature: 3,7
Date: 2016-12-17, Location: Inne, Average Temperature: 21,7
Date: 2016-12-17, Location: Ute, Average Temperature: 4,0
Date: 2016-12-18, Location: Inne, Average Temperature: 21,0
Date: 2016-12-18, Location: Ute, Average Temperature: 5,0
Date: 2016-12-19, Location: Inne, Average Temperature: 21,4
Date: 2016-12-19, Location: Ute, Average Temperature: 5,5
Date: 2016-12-20, Location: Inne, Average Temperature: 22,9
Date: 2016-12-20, Location: Ute, Average Temperature: 8,3
Date: 2016-12-21, Location: Inne, Average Temperature: 22,8
Date: 2016-12-21, Location: Ute, Average Temperature: 6,0
Date: 2016-12-22, Location: Inne, Average Temperature: 21,9
Date: 2016-12-22, Location: Ute, Average Temperature: 7,0
Date: 2016-12-23, Location: Inne, Average Temperature: 22,3
Date: 2016-12-23, Location: Ute, Average Temperature: 6,5
